COMM       PID  SYSCALL_ID ARGS[0]              ARGS[1]              ARGS[2]              ARGS[3]              ARGS[4]              ARGS[5]             
b'df'      1187966 4          b'/snap/core18/2344' b'\x01\x07'          b'\x01\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/kernel/debug/tracing' b'\x19\x07'          b'\x19\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/docker/1690' b'\x0c'              b'\x0c'              b''                  b''                  b''                 
b'df'      1187966 4          b'/run/snapd/ns/docker.mnt' b'\x07\x07'          b'\x07\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/core20/1405' b'\x04'              b'\x04'              b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/docker/1767' b'\x1a\x07'          b'\x1a\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/core/12941'  b'\x14\x07'          b'\x14\x07'          b''                  b''                  b''                 
b'df'      1187966 63         b'7'                 b'udev'              b'\xe0\xa3\xaav\xfd\x7f' b''                  b'devtmpfs'          b''                 
b'df'      1187966 137        b'/dev'              b'\x07'              b''                  b''                  b'.4.0-100-generic'  b''                 
b'df'      1187966 137        b'/run'              b'\x94\x19\x02\x01'  b''                  b''                  b'tmpfs'             b''                 
b'df'      1187966 137        b'/'                 b'\x94\x19\x02\x01'  b''                  b''                  b'ext4'              b''                 
b'df'      1187966 137        b'/sys/kernel/security' b'S\xef'             b''                  b''                  b'securityfs'        b''                 
b'df'      1187966 137        b'/dev/shm'          b'sfcs'              b''                  b''                  b'tmpfs'             b''                 
b'df'      1187966 137        b'/run/lock'         b'\x94\x19\x02\x01'  b''                  b'\x07'              b'tmpfs'             b''                 
b'df'      1187966 137        b'/sys/fs/cgroup'    b'\x94\x19\x02\x01'  b''                  b''                  b'tmpfs'             b''                 
b'df'      1187966 137        b'/sys/fs/cgroup/unified' b'\x94\x19\x02\x01'  b''                  b''                  b'cgroup2'           b''                 
b'df'      1187966 137        b'/sys/fs/cgroup/systemd' b'prgc'              b''                  b''                  b'cgroup'            b''                 
b'df'      1187966 137        b'/sys/fs/pstore'    b"\xeb\xe0'"         b''                  b''                  b'pstore'            b''                 
b'df'      1187966 137        b'/sys/fs/bpf'       b'lgea'              b''                  b''                  b'bpf'               b''                 
b'df'      1187966 137        b'/sys/fs/cgroup/rdma' b'\x11J\xfe\xca'     b''                  b''                  b'cgroup'            b''                 
b'df'      1187966 137        b'/sys/fs/cgroup/cpuset' b"\xeb\xe0'"         b''                  b''                  b'cgroup'            b''                 
b'df'      1187966 137        b'/sys/fs/cgroup/pids' b"\xeb\xe0'"         b''                  b''                  b'cgroup'            b''                 
b'df'      1187966 137        b'/sys/fs/cgroup/net_cls,net_prio' b"\xeb\xe0'"         b''                  b''                  b'cgroup'            b''                 
b'df'      1187966 137        b'/sys/fs/cgroup/devices' b"\xeb\xe0'"         b''                  b''                  b'cgroup'            b''                 
b'df'      1187966 137        b'/sys/fs/cgroup/perf_event' b"\xeb\xe0'"         b''                  b''                  b'cgroup'            b''                 
b'df'      1187966 137        b'/sys/fs/cgroup/memory' b"\xeb\xe0'"         b''                  b''                  b'cgroup'            b''                 
b'df'      1187966 137        b'/sys/fs/cgroup/freezer' b"\xeb\xe0'"         b''                  b''                  b'cgroup'            b''                 
b'df'      1187966 137        b'/sys/fs/cgroup/hugetlb' b"\xeb\xe0'"         b''                  b''                  b'cgroup'            b''                 
b'df'      1187966 137        b'/sys/fs/cgroup/blkio' b"\xeb\xe0'"         b''                  b''                  b'cgroup'            b''                 
b'df'      1187966 137        b'/sys/fs/cgroup/cpu,cpuacct' b"\xeb\xe0'"         b''                  b''                  b'cgroup'            b''                 
b'df'      1187966 137        b'/dev/hugepages'    b"\xeb\xe0'"         b''                  b''                  b'hugetlbfs'         b''                 
b'df'      1187966 137        b'/sys/kernel/tracing' b'\xf6X\x84\x95'     b''                  b''                  b'tracefs'           b''                 
b'df'      1187966 137        b'/sys/kernel/config' b'cart'              b''                  b''                  b'configfs'          b''                 
b'df'      1187966 137        b'/snap/bare/5'      b'peeb'              b''                  b''                  b'squashfs'          b''                 
b'df'      1187966 137        b'/snap/gnome-calculator/884' b'hsqs'              b''                  b''                  b'squashfs'          b''                 
b'df'      1187966 137        b'/snap/gnome-3-38-2004/87' b'hsqs'              b''                  b''                  b'squashfs'          b''                 
b'df'      1187966 137        b'/snap/gnome-3-26-1604/59' b'hsqs'              b''                  b'\x02'              b'squashfs'          b''                 
b'df'      1187966 137        b'/snap/gnome-3-38-2004/99' b'hsqs'              b''                  b'\x05'              b'squashfs'          b''                 
b'df'      1187966 137        b'/snap/gnome-characters/741' b'hsqs'              b''                  b'\x07'              b'squashfs'          b''                 
b'df'      1187966 137        b'/snap/gnome-logs/106' b'hsqs'              b''                  b'\x02'              b'squashfs'          b''                 
b'df'      1187966 137        b'/snap/gnome-calculator/920' b'hsqs'              b''                  b''                  b'squashfs'          b''                 
b'df'      1187966 137        b'/snap/gtk-common-themes/1519' b'hsqs'              b''                  b''                  b'squashfs'          b''                 
b'df'      1187966 137        b'/snap/gnome-3-26-1604/104' b'hsqs'              b''                  b''                  b'squashfs'          b''                 
b'df'      1187966 137        b'/snap/gnome-characters/761' b'hsqs'              b''                  b''                  b'squashfs'          b''                 
